texto;sentimiento;categoria
Los libros nos permiten viajar sin movernos;1;2
El museo estaba vacío y sin actividades interesantes.;0;2
La plataforma educativa es muy completa y fácil de usar.;1;3
Podria ser mejor, pero no lo es;0;1
Las nuevas generaciones pueden redescubrir el arte clasico;1;2
La exposición de arte moderno fue confusa y sin sentido, con obras que no tenían una conexión clara entre ellas.;0;2
La obra de teatro careció de emoción y profesionalismo.;0;2
La nueva plataforma educativa ha facilitado el aprendizaje, permitiendo a los estudiantes acceder a recursos de alta calidad en cualquier momento.;1;3
Nada mejor que la adrenalina de un buen partido;1;3
La musica tiene el poder de unir a las personas;1;2
Nada nuevo, siempre lo mismo;0;1
La atención en el spa fue maravillosa, me sentí completamente relajado después del tratamiento.;1;1
La música en vivo en el bar fue increíble, crearon un ambiente perfecto para disfrutar la noche.;1;1
El deporte nos motiva a superar nuestros limites;1;3
La biblioteca digital de la universidad ofrece un amplio acceso a artículos, libros y tesis que enriquecen el proceso educativo de manera notable.;1;3
Tuve una experiencia bastante negativa con el servicio técnico, no lograron solucionar mi problema y solo generaron más confusión.;0;1
El entrenamiento constante da resultados;1;3
La clase magistral sobre literatura fue muy enriquecedora, con un profesor apasionado y experto en el tema.;1;2
Los Juegos Olimpicos muchas veces son politizados;0;3
La entrega fue puntual y el producto llegó en buen estado.;1;1
El voleibol es un deporte que requiere gran trabajo en equipo;1;3
La exposición de esculturas modernas me dejó indiferente, no logré conectar con el estilo y la falta de contexto de algunas obras.;0;2
Las plataformas de streaming han facilitado el acceso al cine y la musica;1;2
La decoración de la habitación del hotel era encantadora, me sentí como en casa.;1;1
La calidad de las presentaciones fue baja, esperaba mucho más.;0;2
Quiero tatuarme este post! ;1;1
El equipo de atención al cliente fue muy amable.;1;1
Decepcionante;0;1
La literatura clasica sigue vigente por su gran valor;1;2
El deporte ayuda a mejorar la concentracion;1;3
La exposición de arte fue inspiradora y bien organizada.;1;2
Las exposiciones de arte ya no innovan;0;2
Solo entre un rato y ya estoy atrapado con tu contenido ;1;1
Los productos son de alta calidad y siempre llegan a tiempo. Muy satisfecho.;1;1
El nuevo programa educativo es excelente, los estudiantes están motivados.;1;3
No tiene sentido;0;1
La visita guiada al sitio arqueológico fue educativa y emocionante, el guía explicaba cada detalle con gran entusiasmo y conocimiento.;1;2
Me encanta el diseño y la funcionalidad de la aplicación. Es intuitiva y fácil de usar.;1;1
El deporte nos ensena disciplina y constancia;1;3
El periodismo cultural ayuda a difundir el arte y el conocimiento;1;2
La competicion sana es clave para mejorar;1;3
El hotel no cumplió con lo prometido, la habitación estaba sucia y descuidada.;0;1
El libro que leí recientemente me inspiró profundamente, no podía dejar de pensar en sus enseñanzas.;1;1
La exposición de fotografía de viajes fue inspiradora, con imágenes impresionantes de diferentes partes del mundo.;1;2
El teatro ya no tiene la relevancia de antes;0;2
No entiendo por que tiene tantos me gusta;0;1
Los libros fisicos tienen una magia especial;1;2
El material de estudio está desactualizado y es poco útil.;0;3
Siento que mejoran cada vez más en calidad de sus productos.;1;1
Esto no tiene ninguna utilidad;0;1
El evento prometía una experiencia cultural completa, pero resultó ser una presentación monótona sin ningún valor añadido para el público.;0;2
La obra de teatro superó todas mis expectativas.;1;2
La película que vi fue un verdadero fiasco, no logró captar mi interés en ningún momento.;0;1
La atención en la tienda fue muy mala, el personal parecía desinteresado.;0;1
